station,hour,trips_out_lag_1h,trips_out_lag_24h,trips_out_rolling_mean_3h,trips_in_lag_1h,trips_in_lag_24h,trips_in_rolling_mean_3h
2 St & Park Ave,17,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,18,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,19,0.0,0.0,0.33333334,0.0,0.0,0.0
2 St & Park Ave,20,0.0,0.0,0.33333334,0.0,0.0,0.33333334
2 St & Park Ave,21,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,22,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,23,0.0,0.0,0.0,0.0,0.0,0.33333334
3 Ave & E 62 St,0,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,1,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,2,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,3,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,4,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,5,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,6,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,7,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,8,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,9,0.0,0.0,0.0,0.0,0.0,0.0
3 Ave & E 62 St,10,0.0,0.0,0.0,0.0,0.0,0.0
